Date,Open,High,Low,Close,Volume
8/1/2023,266.26,266.47,260.25,261.07,"83,645,719"
7/31/2023,267.48,269.08,263.78,267.43,"84,582,172"
7/28/2023,259.86,267.25,258.23,266.44,"111,446,000"
7/27/2023,268.31,269.13,255.3,255.71,"103,697,297"
7/26/2023,263.25,268.04,261.75,264.35,"95,856,180"
7/25/2023,272.38,272.9,265,265.28,"112,757,297"
7/24/2023,255.85,269.85,254.12,269.06,"137,004,984"
7/21/2023,268,268,255.8,260.02,"161,796,094"
7/20/2023,279.56,280.93,261.2,262.9,"175,158,297"
7/19/2023,296.04,299.29,289.52,291.26,"142,355,391"
7/18/2023,290.15,295.26,286.01,293.34,"112,434,703"
7/17/2023,286.63,292.23,283.57,290.38,"131,569,594"
7/14/2023,277.01,285.3,276.31,281.38,"120,062,398"
7/13/2023,274.59,279.45,270.6,277.9,"112,681,508"
7/12/2023,276.33,276.52,271.46,271.99,"95,672,141"
7/11/2023,268.65,270.9,266.37,269.79,"91,972,359"
7/10/2023,276.47,277.52,265.1,269.61,"119,425,398"
7/7/2023,278.43,280.78,273.77,274.43,"113,879,203"
7/6/2023,278.09,279.97,272.88,276.54,"120,707,398"
7/5/2023,278.82,283.85,277.6,282.48,"131,530,891"
7/3/2023,276.49,284.25,275.11,279.82,"118,999,000"
6/30/2023,260.6,264.45,259.89,261.77,"112,620,797"
6/29/2023,258.03,260.74,253.61,257.5,"131,283,406"
6/28/2023,249.7,259.88,248.89,256.24,"159,770,797"
6/27/2023,243.24,250.39,240.85,250.21,"164,968,188"
6/26/2023,250.07,258.37,240.7,241.05,"179,990,594"
6/23/2023,259.29,262.45,252.8,256.6,"177,460,797"
6/22/2023,250.77,265,248.25,264.61,"166,875,906"
6/21/2023,275.13,276.99,257.78,259.46,"211,797,109"
6/20/2023,261.5,274.75,261.12,274.45,"165,611,203"
6/16/2023,258.92,263.6,257.21,260.54,"167,915,594"
6/15/2023,248.4,258.95,247.29,255.9,"160,171,203"
6/14/2023,260.17,261.57,250.5,256.79,"170,575,500"
6/13/2023,253.51,259.68,251.34,258.71,"162,384,297"
6/12/2023,247.94,250.97,244.59,249.83,"150,740,500"
6/9/2023,249.07,252.42,242.02,244.4,"200,242,406"
6/8/2023,224.22,235.23,223.01,234.86,"164,489,703"
6/7/2023,228,230.83,223.2,224.57,"185,710,797"
6/6/2023,216.14,221.91,212.53,221.31,"146,911,594"
